order_id,customer_id,order_date,total_amount,payment_method,order_status
1,7818,2025-08-28,1148.83,UPI,Processing
2,1899,2025-10-20,165.48,Debit Card,Cancelled
3,3501,2026-04-07,2666.93,Credit Card,Delivered
4,2988,2024-07-16,1411.61,Credit Card,Cancelled
5,4486,2025-03-16,1314.52,Credit Card,Processing
6,6806,2026-06-04,112.9,UPI,Processing
7,1546,2025-07-05,2258.71,Cash,Delivered
8,5828,2025-10-14,1805.99,Credit Card,Delivered
9,7204,2025-11-24,1255.75,Debit Card,Delivered
10,2970,2025-09-13,739.46,UPI,Delivered
11,8666,2025-08-19,1345.02,Credit Card,Cancelled
12,191,2026-06-07,2177.96,UPI,Shipped
13,9577,2024-10-01,1064.51,Credit Card,Shipped
14,7919,2026-05-18,1002.89,Debit Card,Processing
15,3754,2025-07-08,1926.37,PayPal,Shipped
16,895,2025-10-01,2591.85,Credit Card,Processing
17,9934,2024-10-13,2994.34,Debit Card,Shipped
18,8574,2024-09-14,795.31,Debit Card,Shipped
19,8877,2024-12-07,543.81,Credit Card,Delivered
20,8134,2026-03-27,422.07,Cash,Cancelled
21,4758,2025-10-23,1171.14,Cash,Cancelled
22,4025,2024-10-24,91.99,Debit Card,Shipped
23,90,2025-06-07,2704.67,UPI,Processing
24,870,2024-10-24,638.64,Cash,Delivered
25,44,2024-08-26,1917.13,Credit Card,Delivered
26,9800,2025-09-13,625.94,Credit Card,Cancelled
27,8466,2025-01-23,1119.68,UPI,Delivered
28,8846,2024-11-02,2819.34,UPI,Delivered
29,1662,2025-06-26,1085.19,Cash,Cancelled
30,7862,2025-09-28,2828.31,UPI,Delivered
31,9243,2024-07-21,2303.64,PayPal,Cancelled
32,4311,2025-11-01,2865.83,UPI,Processing
33,8214,2025-12-05,1232.25,Cash,Shipped
34,1485,2025-12-04,2506.58,PayPal,Cancelled
35,4206,2025-10-21,307.41,Credit Card,Delivered
36,6111,2026-06-05,146.5,Debit Card,Delivered
37,7941,2026-07-10,1298.69,UPI,Cancelled
38,6025,2025-05-19,1506.29,Credit Card,Processing
39,8263,2024-09-09,1808.7,PayPal,Cancelled
40,7546,2024-07-21,1948.91,UPI,Delivered
41,807,2025-06-28,274.38,Debit Card,Cancelled
42,5189,2026-01-24,338.04,UPI,Shipped
43,9482,2024-09-05,910.72,Cash,Delivered
44,8004,2025-07-18,1443.2,UPI,Processing
45,4438,2025-07-24,208.68,UPI,Delivered
46,2281,2026-06-30,817.05,Cash,Processing
47,924,2024-07-15,2113.16,PayPal,Cancelled
48,9327,2024-07-22,2889.84,UPI,Cancelled
49,3252,2025-10-11,1756.68,PayPal,Shipped
50,1372,2025-08-21,451.42,Credit Card,Delivered
51,9398,2025-09-15,409.26,UPI,Shipped
52,8996,2025-12-14,2467.31,UPI,Shipped
53,8866,2025-05-03,642.7,Debit Card,Shipped
54,2684,2026-01-24,1847.46,UPI,Delivered
55,4023,2026-01-09,1834.24,UPI,Processing
56,7433,2025-10-03,1119.35,Debit Card,Shipped
57,6101,2025-05-01,1049.37,Cash,Shipped
58,4065,2025-12-05,1859.94,UPI,Shipped
59,1931,2025-01-12,1290.04,Cash,Cancelled
60,3245,2025-11-28,2592.1,Debit Card,Processing
61,9381,2025-02-01,858.94,Debit Card,Processing
62,9234,2024-10-09,272.86,Debit Card,Shipped
63,6529,2025-04-21,204.98,PayPal,Shipped
64,6329,2025-01-10,1676.0,Debit Card,Cancelled
65,4520,2025-04-07,524.6,UPI,Cancelled
66,4976,2025-09-19,2398.43,PayPal,Cancelled
67,7021,2025-06-03,2578.28,Credit Card,Delivered
68,9476,2026-05-18,1510.13,Cash,Processing
69,7904,2026-01-03,275.82,Debit Card,Processing
70,4091,2024-07-14,1710.07,UPI,Shipped
71,5871,2024-11-05,2527.77,Debit Card,Shipped
72,3978,2026-02-04,1903.72,Cash,Shipped
73,2350,2025-08-18,2410.63,Debit Card,Cancelled
74,8566,2026-04-22,928.71,Credit Card,Cancelled
75,1927,2025-09-17,1276.25,Debit Card,Delivered
76,3565,2025-03-14,2236.82,Debit Card,Cancelled
77,4217,2026-05-18,1657.51,Debit Card,Shipped
78,4738,2025-11-21,1596.34,Cash,Delivered
79,8874,2025-07-29,2848.43,Cash,Processing
80,3724,2025-07-13,2343.96,UPI,Processing
81,2572,2025-04-09,1054.44,Credit Card,Processing
82,9086,2026-02-09,961.23,Debit Card,Processing
83,8447,2024-10-10,872.69,UPI,Processing
84,7237,2024-08-16,1982.69,Cash,Processing
85,5506,2026-03-26,1343.25,UPI,Cancelled
86,2281,2025-07-04,1938.26,Credit Card,Shipped
87,2731,2025-02-17,2666.8,PayPal,Shipped
88,898,2024-09-07,2254.19,Cash,Delivered
89,2281,2026-05-12,2271.12,Cash,Cancelled
90,9595,2024-08-07,1968.39,Debit Card,Cancelled
91,8614,2026-03-11,2846.98,PayPal,Delivered
92,5429,2025-07-30,695.36,Credit Card,Processing
93,724,2024-08-10,2873.86,Credit Card,Shipped
94,9723,2024-10-17,2077.59,Debit Card,Delivered
95,8537,2024-08-21,2172.13,UPI,Processing
96,1581,2026-02-09,1551.25,Credit Card,Processing
97,8828,2025-06-12,563.51,Debit Card,Cancelled
98,5939,2025-01-01,488.64,PayPal,Shipped
99,4205,2024-12-01,1806.53,PayPal,Processing
100,9220,2025-08-27,2333.57,Cash,Delivered
101,3602,2025-06-24,234.24,PayPal,Processing
102,4962,2024-12-13,153.42,Cash,Cancelled
103,3911,2024-10-03,583.14,Debit Card,Shipped
104,194,2025-10-04,2853.25,PayPal,Cancelled
105,4953,2025-02-16,2615.41,UPI,Processing
106,5392,2025-05-15,2372.88,PayPal,Delivered
107,4055,2025-07-27,1247.54,Credit Card,Delivered
108,8360,2025-07-10,2759.42,Cash,Processing
109,4478,2026-03-19,1347.24,Credit Card,Cancelled
110,4721,2026-07-10,621.75,PayPal,Delivered
111,4610,2025-02-06,31.43,Credit Card,Processing
112,6149,2025-09-17,394.49,Credit Card,Cancelled
113,5786,2026-06-24,1267.3,UPI,Cancelled
114,178,2024-11-21,309.49,Debit Card,Shipped
115,1130,2025-03-27,2294.98,UPI,Cancelled
116,2176,2025-07-17,238.66,Debit Card,Shipped
117,3569,2025-06-11,559.96,Cash,Shipped
118,9154,2024-11-27,1848.49,Cash,Shipped
119,2962,2026-03-03,525.85,Credit Card,Delivered
120,290,2024-11-09,1127.41,Debit Card,Processing
121,4825,2024-11-23,1151.27,Credit Card,Delivered
122,5582,2025-10-07,306.69,PayPal,Processing
123,8295,2025-08-23,2048.35,Credit Card,Delivered
124,8483,2025-07-27,467.56,UPI,Delivered
125,3459,2026-06-14,1362.1,Cash,Cancelled
126,1451,2026-04-09,2182.99,Cash,Processing
127,6002,2025-07-14,199.01,Debit Card,Shipped
128,8854,2026-01-01,1469.14,Credit Card,Cancelled
129,8638,2024-12-03,856.1,PayPal,Shipped
130,7736,2025-12-29,1990.75,UPI,Shipped
131,4324,2025-11-09,1161.74,PayPal,Processing
132,1675,2026-04-29,378.9,Debit Card,Delivered
133,6609,2025-07-21,640.1,Credit Card,Processing
134,3114,2025-09-03,2201.84,Credit Card,Delivered
135,8089,2025-03-16,1725.92,PayPal,Shipped
136,1598,2025-11-19,2427.75,Cash,Shipped
137,8951,2025-11-16,327.17,Debit Card,Shipped
138,3138,2025-12-06,284.07,Cash,Cancelled
139,8098,2025-05-28,2367.26,Credit Card,Delivered
140,9562,2024-09-22,1516.41,UPI,Delivered
141,3617,2025-10-15,403.95,Debit Card,Cancelled
142,2555,2025-05-18,2863.45,UPI,Delivered
143,9126,2026-05-25,2916.72,UPI,Shipped
144,706,2026-03-18,2311.55,Debit Card,Delivered
145,1033,2026-05-21,416.85,PayPal,Delivered
146,3873,2025-04-29,1187.53,Cash,Processing
147,2653,2024-11-23,2609.52,UPI,Processing
148,6057,2026-06-02,1108.76,Debit Card,Shipped
149,467,2024-12-24,1774.63,Cash,Processing
150,7437,2025-01-28,535.98,UPI,Delivered
151,3745,2025-06-10,2313.12,Cash,Delivered
152,9917,2025-11-05,1409.87,Debit Card,Processing
153,1442,2026-04-20,2022.56,PayPal,Delivered
154,6571,2024-10-13,1520.17,UPI,Cancelled
155,9272,2024-10-24,1226.88,UPI,Cancelled
156,5448,2026-05-19,2105.89,Debit Card,Shipped
157,3315,2024-10-19,1248.41,Cash,Processing
158,5165,2025-06-28,1789.32,Cash,Cancelled
159,7204,2025-08-19,1532.64,Cash,Shipped
160,3850,2024-07-30,1390.75,Credit Card,Shipped
161,5461,2024-10-31,1788.06,Cash,Delivered
162,3958,2024-11-30,2925.18,Credit Card,Cancelled
163,2285,2026-06-01,1240.85,PayPal,Delivered
164,8044,2025-02-09,2649.49,UPI,Shipped
165,8458,2025-04-05,545.6,Debit Card,Delivered
166,6700,2025-11-01,2941.36,Debit Card,Cancelled
167,5762,2025-01-22,2816.47,Debit Card,Processing
168,7472,2025-07-05,2684.81,UPI,Cancelled
169,6,2025-10-13,959.72,Debit Card,Delivered
170,4273,2026-03-27,2546.3,UPI,Cancelled
171,8235,2024-07-30,1636.34,Credit Card,Cancelled
172,7519,2024-08-16,2231.58,PayPal,Shipped
173,9797,2025-06-01,1127.15,Credit Card,Shipped
174,7086,2024-10-20,803.67,Cash,Delivered
175,8769,2025-09-21,1859.48,UPI,Delivered
176,9844,2024-09-01,2199.35,Cash,Shipped
177,1135,2025-06-20,1185.84,Credit Card,Cancelled
178,8979,2025-10-04,2040.53,Cash,Delivered
179,5336,2026-04-04,231.57,UPI,Delivered
180,8189,2025-08-02,348.6,Debit Card,Shipped
181,900,2024-11-30,524.98,Cash,Delivered
182,4288,2024-08-07,2162.21,Cash,Delivered
183,5165,2025-10-19,2661.74,UPI,Processing
184,4715,2024-10-08,2435.94,UPI,Shipped
185,4976,2024-09-08,1735.67,Cash,Shipped
186,8833,2026-04-19,1629.35,UPI,Processing
187,4983,2024-09-15,1483.17,PayPal,Shipped
188,436,2024-09-20,389.85,UPI,Delivered
189,6795,2024-07-26,1482.19,PayPal,Processing
190,6304,2024-11-10,2991.08,Debit Card,Shipped
191,4751,2026-05-23,2467.6,UPI,Processing
192,7803,2025-10-15,2920.01,Credit Card,Processing
193,6987,2025-05-10,1758.65,Debit Card,Shipped
194,8284,2025-02-20,1517.44,Credit Card,Delivered
195,5701,2026-01-02,1311.34,Debit Card,Shipped
196,9122,2025-12-28,2835.36,Credit Card,Shipped
197,7862,2025-10-17,838.12,Credit Card,Cancelled
198,3689,2026-02-13,2667.36,PayPal,Shipped
199,1394,2025-07-29,1727.89,UPI,Processing
200,5769,2025-08-23,1235.0,PayPal,Shipped
201,1570,2024-12-03,641.99,Cash,Shipped
202,1327,2026-03-27,300.74,UPI,Cancelled
203,342,2024-11-18,855.63,Credit Card,Cancelled
204,5133,2025-10-12,1649.13,Cash,Delivered
205,1673,2025-01-24,1833.67,Cash,Processing
206,7491,2024-08-24,37.02,Credit Card,Processing
207,5826,2026-06-27,2852.36,PayPal,Cancelled
208,5184,2025-11-15,1959.34,Debit Card,Shipped
209,1818,2025-04-13,2766.62,Credit Card,Shipped
210,2308,2026-05-06,435.32,UPI,Delivered
211,3924,2024-11-25,1059.7,UPI,Shipped
212,388,2025-08-11,875.9,Credit Card,Processing
213,473,2026-04-13,2319.37,UPI,Shipped
214,598,2026-05-05,2334.14,UPI,Processing
215,2006,2026-01-05,1853.4,Cash,Processing
216,7467,2025-05-04,1576.29,Credit Card,Delivered
217,4754,2024-12-17,434.95,Debit Card,Processing
218,6503,2026-03-06,1272.89,Credit Card,Processing
219,3030,2025-04-25,1327.0,Credit Card,Cancelled
220,9547,2025-12-12,1195.43,UPI,Shipped
221,5164,2025-07-02,432.73,Cash,Shipped
222,4198,2026-05-13,2716.33,Debit Card,Shipped
223,3821,2025-12-14,218.68,UPI,Cancelled
224,1334,2025-05-12,1933.03,Cash,Cancelled
225,5672,2025-05-25,373.43,Cash,Processing
226,944,2025-09-14,1423.02,Cash,Shipped
227,4242,2025-05-21,2427.25,Cash,Delivered
228,3770,2026-01-19,2366.09,Cash,Processing
229,6181,2024-09-05,2933.79,UPI,Processing
230,6457,2024-10-14,1657.48,PayPal,Cancelled
231,4599,2025-01-18,271.21,Credit Card,Cancelled
232,4430,2025-10-02,2815.44,UPI,Delivered
233,5437,2026-01-30,2983.51,UPI,Processing
234,8797,2025-01-06,2138.71,UPI,Processing
235,5292,2024-09-29,2130.46,UPI,Processing
236,8616,2025-10-26,2945.28,Debit Card,Shipped
237,2347,2025-11-20,1302.35,Debit Card,Cancelled
238,5885,2025-01-10,2477.99,PayPal,Processing
239,8264,2025-03-05,2934.02,UPI,Shipped
240,4996,2025-12-30,2819.57,PayPal,Cancelled
241,5496,2024-10-22,2064.53,Debit Card,Shipped
242,9361,2025-04-28,2322.76,PayPal,Cancelled
243,6025,2026-02-16,2643.86,Cash,Cancelled
244,1533,2025-04-13,405.47,Credit Card,Shipped
245,3224,2025-05-08,2834.61,PayPal,Cancelled
246,6965,2025-11-08,2047.03,Debit Card,Cancelled
247,194,2026-06-09,1322.81,PayPal,Shipped
248,5492,2025-12-18,887.72,Credit Card,Delivered
249,1160,2026-06-28,866.18,UPI,Delivered
250,3439,2025-09-21,2797.6,Cash,Shipped
251,8971,2024-11-24,146.37,PayPal,Shipped
