product_id,product_name,category_id,brand,unit_price,stock_quantity,created_date
1,Agency Western,3,Baldwin LLC,407.86,442,2026-06-08
2,Receive Return,5,Rodriguez-Charles,303.43,317,2026-04-25
3,Left Economy,6,Chase Inc,1997.06,157,2026-05-31
4,Least Determine,6,Wilson-Wright,1898.87,173,2026-01-23
5,Plan Strong,1,Leonard-Pearson,633.39,192,2026-06-11
6,Single Three,5,"Banks, Martinez and Parker",328.35,124,2026-01-16
7,Create Without,7,Gonzales-Walter,648.46,392,2026-01-21
8,Remain Mr,7,Williams Inc,639.04,444,2026-03-29
9,Special Actually,8,Beck-Lewis,1731.81,113,2026-03-16
10,Second Marriage,6,Small Group,1585.77,163,2026-05-25
11,Watch Try,7,"Young, Anderson and Cameron",1961.09,363,2026-02-13
12,Summer Stock,6,"Rodriguez, Carpenter and Hayes",29.16,272,2026-04-09
13,Size Song,7,Robbins-King,1546.55,95,2026-05-20
14,Catch Her,8,"Carter, Lam and Henry",1888.05,337,2026-05-08
15,Record Management,4,Dorsey-Newman,188.87,406,2026-01-10
16,Window Activity,8,Rice-Davis,1287.41,395,2026-02-21
17,Fire Ready,4,"Moore, Manning and Smith",1122.2,289,2026-02-15
18,Sister Tough,6,Moran LLC,1588.26,170,2026-01-14
19,Reduce Order,7,Williams-Ayala,1156.01,25,2026-01-12
20,Radio National,3,Young Group,1317.46,243,2026-01-31
21,Job Watch,8,Daniels-Jefferson,1887.33,485,2026-03-03
22,Himself Develop,4,"Howell, Nelson and Jones",740.21,356,2026-06-14
23,Do Culture,7,"Graham, Garcia and Curtis",1242.17,351,2026-04-12
24,All Sell,6,Banks-Burgess,1186.02,430,2026-06-24
25,True Always,7,Flowers-Munoz,1025.24,228,2026-07-02
26,Woman Owner,6,Young PLC,541.32,93,2026-03-03
27,Anything Color,1,Page Inc,545.13,441,2026-05-03
28,By Big,4,Torres-Brady,1665.29,67,2026-04-18
29,Sister Born,8,"Long, Elliott and Williams",1974.54,353,2026-01-21
30,Memory Produce,7,"Stevenson, Pierce and Galvan",1815.97,449,2026-03-23
