product_name,category_id,brand,unit_price,stock_quantity,created_date
Middle Along,5,Bell LLC,1288.01,305,2026-04-29
Meet Common,3,Gay-Perkins,1193.4,148,2026-04-15
Early Win,6,Stewart LLC,1756.58,292,2026-02-11
Information Exist,3,Williams and Sons,1999.04,385,2026-01-22
Nice Into,5,Smith Group,1265.05,461,2026-06-21
Look Might,1,Graham-Reed,323.67,196,2026-04-23
Economic Particularly,4,Reyes and Sons,835.14,406,2026-04-17
Short Age,1,Hines-Lee,333.49,156,2026-04-14
Wife Material,6,"Jackson, Wilson and Dennis",161.46,411,2026-03-02
Keep Perform,7,Smith Ltd,647.32,278,2026-05-06
Teacher Scientist,6,Reyes Ltd,1255.32,227,2026-05-04
It Any,7,"Mccarthy, Phillips and Smith",1579.11,49,2026-01-06
Past Both,8,Buchanan-Anderson,32.93,91,2026-01-31
Listen Ever,7,Wright Group,1381.76,78,2026-02-07
Into Certainly,3,Brown Ltd,488.48,409,2026-01-25
Mission Water,2,Williams-Lee,1462.91,449,2026-06-28
Which Black,5,Turner LLC,1771.91,181,2026-02-18
See Later,4,"Norris, Simpson and Warner",374.21,471,2026-05-06
Lead Toward,8,Brewer-Guerrero,335.68,458,2026-06-21
Traditional Reach,7,Simpson Group,596.18,36,2026-01-02
Talk Weight,6,Wilkinson-Rose,1090.17,450,2026-06-13
Each Method,1,Ward LLC,1129.12,74,2026-03-11
From Do,3,Adams-Herrera,809.28,144,2026-03-26
Attention Road,7,Robinson-Jones,1096.63,153,2026-03-29
Oil Mrs,1,"Romero, Peters and Sharp",989.5,82,2026-03-03
Within Mission,6,Mcfarland Ltd,1807.17,285,2026-06-19
Detail Seek,4,"Mclaughlin, Gallagher and Jones",684.72,322,2026-01-10
Sell City,7,Garcia and Sons,637.95,215,2026-03-15
Worry Chair,6,"Brown, Schmidt and Carlson",65.17,404,2026-03-25
Peace Stock,2,Reeves-Garza,938.51,382,2026-06-02
Consumer Write,4,Mcfarland Group,652.47,116,2026-03-20
Ball Sound,1,Santos LLC,1497.65,52,2026-03-13
Simply Notice,7,Mcgee-Lyons,875.63,316,2026-03-17
Generation Fine,2,Payne Inc,1648.42,118,2026-05-24
Scene Thousand,5,Williams-Vincent,280.71,448,2026-07-02
Class Report,7,Green and Sons,164.99,370,2026-01-03
Central Push,7,Hernandez and Sons,1234.54,93,2026-05-18
Office Always,6,Aguirre Group,1196.23,25,2026-06-28
I Teach,8,Bartlett LLC,1571.87,255,2026-03-05
Car Even,3,Schneider Group,1152.03,118,2026-06-13
Senior Election,1,Oliver-Jenkins,1236.5,106,2026-05-10
Pressure Behavior,8,Wright Ltd,246.74,164,2026-01-23
Tree Anything,1,Brady-Hamilton,971.27,230,2026-03-01
Fast Attorney,6,Johnson-Cannon,172.86,383,2026-05-27
Hour Congress,1,"Johnson, Ward and Lindsey",485.93,259,2026-03-03
Success Can,6,Jones Inc,782.39,341,2026-03-03
Learn Officer,8,Smith-Snyder,25.28,125,2026-04-07
Push Society,2,Hernandez-Rogers,845.87,173,2026-01-26
Statement Because,1,Smith PLC,519.42,119,2026-03-24
Organization Goal,7,Riggs LLC,453.94,15,2026-04-06
Enough Executive,8,"Wagner, Duke and Phillips",358.96,199,2026-02-25
Follow Store,3,Meyers and Sons,119.37,358,2026-02-15
Level Major,1,Lloyd-Rivera,605.93,356,2026-07-10
Although Environment,5,"Smith, Perez and Webb",375.05,478,2026-06-27
Amount Event,5,"Manning, Martin and Collins",602.3,107,2026-06-25
Gas Last,8,Douglas-Collins,1934.07,339,2026-02-20
Kid Fear,2,Mcconnell and Sons,1615.26,144,2026-05-09
Especially Prepare,6,Franklin PLC,515.23,427,2026-03-25
Every Million,5,Phillips Group,74.82,214,2026-04-01
Food Detail,2,"Owens, Clayton and Baxter",407.29,31,2026-04-30
Imagine Meeting,5,Bowman-Evans,1154.16,172,2026-05-11
Opportunity Name,6,Hernandez-Smith,917.53,310,2026-06-21
Idea Last,8,Wallace PLC,1258.95,296,2026-06-28
